Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks
5.41055E+17,https://twitter.com/dumpmon/status/541055273595854848,http://t.co/TYKkBC54RS Emails: 100 Keywords: 0.0 #infoleak,2014-12-06 02:23 +0000,4055,18,0.004438964,0,0,0,0,18,0,0,0
5.41053E+17,https://twitter.com/dumpmon/status/541053371428651009,http://t.co/gyZCdySe7y Possible cisco configuration #infoleak,2014-12-06 02:15 +0000,3768,6,0.001592357,0,0,0,0,6,0,0,0
5.41037E+17,https://twitter.com/dumpmon/status/541037416925372417,http://t.co/WNZSN8kWzG Emails: 275 Keywords: 0.11 #infoleak,2014-12-06 01:12 +0000,3989,23,0.005765856,0,0,0,0,23,0,0,0
5.41035E+17,https://twitter.com/dumpmon/status/541034798085832704,http://t.co/JuMAY4VvRa Hashes: 95 Keywords: 0.19 #infoleak,2014-12-06 01:02 +0000,4075,15,0.003680982,0,0,0,0,12,0,2,0
5.41035E+17,https://twitter.com/dumpmon/status/541034582402158592,http://t.co/Z5vfHR94Up Emails: 20 Keywords: -0.03 #infoleak,2014-12-06 01:01 +0000,4081,13,0.003185494,0,0,0,0,13,0,0,0
5.41014E+17,https://twitter.com/dumpmon/status/541013876922679296,http://t.co/cyNNJO3Pwf Possible cisco configuration #infoleak,2014-12-05 23:38 +0000,4750,14,0.002947368,0,1,0,0,10,0,2,1
5.41011E+17,https://twitter.com/dumpmon/status/541011132774096897,http://t.co/T6eQQeHB8n Emails: 20 Keywords: -0.14 #infoleak,2014-12-05 23:28 +0000,4491,15,0.003340013,0,0,0,0,12,1,2,0
5.40999E+17,https://twitter.com/dumpmon/status/540999419303575552,http://t.co/heeA3oofA7 Emails: 256 Keywords: 0.0 #infoleak,2014-12-05 22:41 +0000,4368,29,0.006639194,0,0,0,0,27,0,2,0
5.40999E+17,https://twitter.com/dumpmon/status/540998725871878144,http://t.co/l0ETfxHHMj Emails: 113 Keywords: 0.0 #infoleak,2014-12-05 22:38 +0000,3820,25,0.006544503,0,0,0,0,23,0,2,0
5.40999E+17,https://twitter.com/dumpmon/status/540998514281828352,http://t.co/Va0fivgrNH Possible cisco configuration #infoleak,2014-12-05 22:37 +0000,3479,12,0.003449267,0,0,0,0,10,0,2,0
